category,num_restaurants
Italian-Pasta-Comfort Food-Alcohol,6
pizza-Family Meals,6
Comfort Food-Fried Chicken-Wings,6
Sandwiches-American-Healthy-Exclusive to Eats,6
Mexican-Fast Food-Salads-Healthy,6
Seafood-American-Southern-Allergy Friendly,6
Italian-Pasta-Comfort Food-Family Meals,6
Comfort Food-American-Wings-Family Meals,6
Comfort Food-American-Wings-Family Friendly-Group Friendly-Alcohol,6
Seafood-Burgers-American-Comfort Food,6
Breakfast and Brunch-American-Sandwiches-Exclusive to Eats,6
Bubble Tea-Juice and Smoothies,6
American-Breakfast and Brunch-Comfort Food,6
pizza-Sandwich-Comfort Food,6
Comfort Food,6
Colombian-Latin American-Latin American,6
Mexican-Desserts,6
Mediterranean-Greek-Vegetarian-Family Meals-Healthy,6
Snacks-Everyday Essentials-Convenience,6
Chinese-Vegetarian-Seafood,6
Vietnamese-Noodles-Healthy-Family Friendly,6
Italian-Pizza-Sandwich,6
Chinese-Noodles-Asian,6
